Column3,Column4,Column5
2358,hitting a wall and tumbling to my death,iPod touch
5276,missing another window,iPhone
3198,hitting a wall and tumbling to my death,iPad
3491,hitting a wall and tumbling to my death,iPhone
3688,hitting a wall and tumbling to my death,iPad
4998,hitting a wall and tumbling to my death,iPhone
3740,hitting a wall and tumbling to my death,iPhone
6892,falling to my death,iPhone
4564,colliding with some enormous obstacle,iPhone
7332,missing another window,iPhone
222,hitting a wall and tumbling to my death,iPhone
12467,colliding with some enormous obstacle,iPad
1155,turning into a fine mist,iPhone
3780,missing another window,iPhone
2163,hitting a wall and tumbling to my death,iPhone
1608,somehow hitting the edge of a crane,iPhone
1500,hitting a wall and tumbling to my death,iPad
3716,hitting a wall and tumbling to my death,iPhone
761,hitting a wall and tumbling to my death,iPod touch
9838,hitting a wall and tumbling to my death,iPhone
7254,turning into a fine mist,iPhone
4689,hitting a wall and tumbling to my death,iPad
4000,hitting a wall and tumbling to my death,iPad
10235,hitting a wall and tumbling to my death,iPhone
3264,hitting a wall and tumbling to my death,iPhone
1912,hitting a wall and tumbling to my death,iPhone
3323,missing another window,iPhone
3233,hitting a wall and tumbling to my death,iPad
2449,hitting a wall and tumbling to my death,iPhone
104,just barely stumbling out of the first hallway,iPhone
2710,falling to my death,iPad
5004,hitting a wall and tumbling to my death,iPad
3886,missing another window,iPhone
11731,missing another window,iPod touch
3836,hitting a wall and tumbling to my death,iPhone
7976,hitting a wall and tumbling to my death,iPhone
1980,knocking a building down,iPad
2947,hitting a wall and tumbling to my death,iPhone
2056,hitting a wall and tumbling to my death,iPod touch
2633,hitting a wall and tumbling to my death,iPhone
11315,missing another window,iPhone
2433,hitting a wall and tumbling to my death,iPhone
4613,colliding with some enormous obstacle,iPad
4337,missing another window,iPad
6972,hitting a wall and tumbling to my death,iPad
820,missing another window,iPhone
24785,missing another window,iPhone
4510,hitting a wall and tumbling to my death,iPhone
2824,missing another window,iPad
3857,missing another window,iPhone
1650,turning into a fine mist,iPhone
1568,missing another window,iPhone
968,hitting a wall and tumbling to my death,iPhone
3376,hitting a wall and tumbling to my death,iPhone
3100,hitting a wall and tumbling to my death,iPad
6945,hitting a wall and tumbling to my death,iPhone
7293,colliding with some enormous obstacle,iPhone
4785,knocking a building down,iPhone
1019,hitting a wall and tumbling to my death,iPod touch
1170,landing where a building used to be,iPod touch
2348,colliding with some enormous obstacle,iPad
3105,hitting a wall and tumbling to my death,iPhone
712,turning into a fine mist,iPad
2448,missing another window,iPod touch
1563,hitting a wall and tumbling to my death,iPad
1548,missing another window,iPad
3684,colliding with some enormous obstacle,iPad
2294,hitting a wall and tumbling to my death,iPod touch
6196,hitting a wall and tumbling to my death,iPhone
7790,missing another window,iPhone
2225,hitting a wall and tumbling to my death,iPad
2996,hitting a wall and tumbling to my death,iPhone
6568,hitting a wall and tumbling to my death,iPad
8464,hitting a wall and tumbling to my death,iPhone
7468,falling to my death,iPad
3224,hitting a wall and tumbling to my death,iPod touch
